subject,Cont,SalVentAttn,Default,DorsAttn,Vis,SomMot,Limbic
PNC009,0.35002234301891794,0.44868481842492625,0.36764965796306703,0.34527177901389694,-0.4430793056625393,0.4878488846206626,-0.331754469361086
PNC018,0.43494252467374156,0.48376014009215335,0.4158706298070922,0.37761714196253526,-0.48437519895257525,0.5992518481957821,-0.25210877689554345
PNC019,0.4522889339929083,0.436877803654646,0.42489791003342897,0.39067574465415034,-0.47156805077684927,0.5325096759111948,-0.3967502466520654
PNC022,0.3818089162704865,0.5163818133215669,0.3968785818771903,0.3140659638112635,-0.43214429460566456,0.5988244553516205,-0.3695271113476733
PNC024,0.43430097034439213,0.530753182743047,0.40820991622757047,0.4049104237535537,-0.46137876754390994,0.5727515255120357,-0.422345931831587
PNC025,0.38018491508037877,0.446675036952561,0.32222669746063387,0.21405853161759195,-0.3443713177709086,0.41968165788783146,-0.23171068870594677
PNC026,0.3795559286991707,0.37331104560257455,0.3536768730229256,0.2871830662632759,-0.4540823536134137,0.4324683244678965,-0.2739763381272815
PNC029,0.3632212059568464,0.44824301952651124,0.349566934005122,0.35964313307976814,-0.40150897001782215,0.5366119955662703,-0.20385208788126175
PNC030,0.25181670972827586,0.4458589421562459,0.33211598814455323,0.39124211167315,-0.3403948708603341,0.5963959138813238,-0.3097471963118271
PNC037,0.2704885625664021,0.4602080071516343,0.3115467597998007,0.2657940490414907,-0.36575774585397663,0.43432765871998985,-0.3474804326690811
PNC038,0.38346314513329716,0.4523226695126285,0.37797936819480643,0.35997314873851216,-0.43111319696322126,0.49327328442776597,-0.3751915170280288
PNC039,0.24607369890388114,0.43773630998192137,0.28217952955659814,0.3885994571768991,-0.4735787322316815,0.5841513483960562,-0.27723974139068475
PNC040,0.348812833353463,0.40019619170302817,0.3346039945533374,0.32412034321324457,-0.36601126333550693,0.4484376118574352,-0.1877426810570015
PNC041,0.369189033909521,0.37810687689645184,0.35621306964013866,0.32068946847100016,-0.429499100424917,0.4608088974009599,-0.2652736669100221
PNC046,0.2765864473096732,0.4625105332066534,0.30594812582122205,0.3233825001795855,-0.3987289772621674,0.5375751511275026,-0.26561508371784687
PNC047,0.3137995850667072,0.3169947366886159,0.3334882436383612,0.18510141972866312,-0.2961336223821796,0.3971336901245498,-0.15105607842996222
PNC048,0.4096878076083678,0.4754869914140481,0.3815179336628093,0.281038511374798,-0.42796504515886286,0.4876161552542995,-0.30023466668594606
PNC049,0.41201499642150713,0.4179190010848466,0.3527580646237621,0.31036927153134325,-0.4021013069461005,0.5076799729100252,-0.2859832696173807
PNC050,0.42839339824588296,0.495533411440563,0.40018070466719924,0.330266736282584,-0.4380544276907977,0.5452447544135705,-0.2371862048522684
