subject,Cont,SalVentAttn,Default,DorsAttn,Vis,SomMot,Limbic
PNC009,0.5358688101380311,0.3420232452597949,0.1877384243910255,0.16838089769067402,0.0361029657645381,0.008402122067772834,-0.04947523264538053
PNC018,0.5390437907020984,0.3444109394768468,0.2027830364511298,0.22317842930651896,0.05441978049982497,0.007927453571665428,-0.05826107529153967
PNC019,0.5298778480943217,0.35343170483492725,0.15650731188952716,0.16004890231188576,-0.05759044102471816,-0.015355451429029311,-0.04844109378993099
PNC022,0.5224041478597916,0.3296233189899982,0.16024508772855497,0.10438352152814039,-0.02962643460325657,-0.004928314069694479,-0.04381545773145083
PNC024,0.4954101329703786,0.32610001467371424,0.15944268488989902,0.11954073899092503,0.03757255159224337,-0.08394280325764895,-0.03409783107472879
PNC025,0.49157542091552314,0.3506282956870367,0.1424564444508424,0.12619277209674312,0.07544516896551602,0.004739547348814889,-0.05479172020109623
PNC026,0.5198005612872938,0.34579563551136455,0.18566841704389694,0.17944051278121484,0.08119777116023488,-0.04185627950731397,-0.1004863550054919
PNC029,0.5386954621237022,0.32530042398305453,0.13974077646320104,0.16884197280498822,0.020184299554578268,-0.071768393896762,-0.004225018775169443
PNC030,0.5383001154435886,0.33490079999236744,0.13772723009430363,0.1308799458484213,0.06326197812791823,-0.03081384209907426,-0.035348719476104185
PNC037,0.49790575216218214,0.3206739559371654,0.1810292805901348,0.1296148084880479,0.03892910548219921,-0.06051130936146167,-0.011032805741026734
PNC038,0.5151509754658731,0.32747313133452116,0.19704246089043975,0.17999056575080394,0.07632917347704112,0.03122702394269437,-0.05317923047300415
PNC039,0.5025343922586758,0.3314235292917583,0.1796140211017748,0.2634971129849368,0.08044094914742993,0.021948253806054904,-0.014951836920599374
PNC040,0.5277854550453539,0.32910811176695537,0.17693207576804473,0.1616421398831528,-0.0725651762819869,-0.0389916401320409,-0.037296988810481414
PNC041,0.49039715972650105,0.28880207157654547,0.16240251232449296,0.19632655520623254,0.09045790567752178,-0.06496367073596508,-0.038824834365968966
PNC046,0.5362844214328161,0.3732829450813656,0.2140324478866309,0.10557529534470178,0.028447851182411305,-0.027913565750219194,-0.060798284917909645
PNC047,0.5292239287146364,0.32693237075515014,0.15083495611614503,0.1834257824808204,0.13442776603546633,0.0013856239858119038,-0.016011949928787576
PNC048,0.5264989315857235,0.33451594204964813,0.15178917175621892,0.16766163591889469,0.10793668588740472,-0.02119462918046841,-0.01746330366441217
PNC049,0.4854940890042017,0.3131170059008561,0.1441501677076456,0.13027509055120107,0.11360543757066967,0.006489425598518356,-0.005603809520342952
PNC050,0.5265702734792805,0.3646881734090752,0.15499622916736225,0.20981060174020427,0.04960152059587329,-0.010440932601737053,-0.06690912378014902
