subject,Cont,SalVentAttn,Default,DorsAttn,Vis,SomMot,Limbic
PNC009,0.04066778077774605,0.19238231547409348,-0.07245569112456486,0.12640834628093345,0.009061936383418833,-0.265808711393678,-0.01875448157645648
PNC018,-0.14293946352815645,0.1404371328221707,-0.1349470549115439,0.15945402849601875,0.16647100442925275,-0.1800511921962482,-0.011013806014291923
PNC019,0.24100244158279008,0.2749387032201823,0.03407594991644402,0.20061808485948132,-0.1170074695446858,0.013969045942231254,0.015137301322957217
PNC022,-0.03783605011903927,0.11501522493177602,-0.12137576635674456,0.0883088552946364,-0.16748930055293493,-0.24687586550826893,-0.06277980373676412
PNC025,-0.050904787770768976,0.06306349878650512,-0.11907589506579284,0.16728239851643603,-0.013956500910090638,0.034549539937437666,0.02624591533562684
PNC026,-0.06854904701134572,0.20579842372900117,-0.08252496325801881,0.258585615882325,-0.20334073255672797,0.14209311304862396,-0.035701084976088565
PNC029,-0.12294624243049486,0.06833646384287731,-0.13648027636068227,0.16556896517708025,-0.07374622311396914,-0.25091181624527636,-0.004203174371131665
PNC030,-0.015647351924776984,0.10292788205942963,-0.1170963609055464,0.23758861491586336,-0.017916734714214143,-0.058839984495791364,0.03707977600631452
PNC037,-0.0393763599840331,0.12092971084464464,-0.14502230746983066,0.12803154290716667,-0.2917077456364881,0.05317049916671943,-0.05965493685656784
PNC038,0.08759551118110404,0.09717431761260403,0.0016271607588046978,0.10516646645352755,-0.18247539216147615,-0.11788493203633515,-0.05277210162515623
PNC039,0.09773378900932458,0.11434478345035819,-0.16550224146736472,0.20069123892940896,-0.07664756458321884,-0.07604302559195407,-0.02596991608127573
PNC040,-0.11007400365049969,0.04845734720801661,-0.023155328575940732,0.06970950557530277,-0.22996663725958127,-0.14983959380331788,0.01996746626158298
PNC041,0.018445615553021065,0.13946173223718242,-0.05585216017898558,0.08888522865155925,-0.13454503277947574,-0.26445805748338636,-0.07281111885422577
PNC046,-0.059127265721762155,0.12127102268903808,-0.09922466695745673,0.14640891501132783,0.05367100371747212,-0.10680680378896297,0.00593505189343676
PNC047,0.033620467725262185,0.14502096300995523,-0.0756404712090617,0.2878549559204575,-0.2485136191317146,-0.07709784896144588,-0.020228633225824938
PNC048,0.10314684132219752,0.13518733657928303,-0.08326889952154261,0.191499380978774,0.038020262219988464,-0.05911434909568816,-0.08793821556158789
PNC049,0.09561069873421857,0.14249439905243755,-0.09803312109572901,0.16232870840809152,0.10954064840843872,-0.16414701507352428,-0.09150502535787645
PNC050,-0.14109047421727708,0.08412047653757754,-0.09985922538818916,0.11933144671018667,-0.032478165140226715,0.13096318536514417,-0.10159673756066258
